"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PA5010_waaG_at",-2.20645697629596,5.63610754080007,-12.4062631538747,5.17127596669803e-09,1.79587767578785e-07,11.0280936140304
"PA4270_rpoB_at",-4.69955778500041,5.58600452905908,-12.3992136987759,5.20984991181805e-09,1.79606723602311e-07,11.0204425478129
"PA3167_serC_at",-2.64789755129026,4.85337580853894,-12.2806980343946,5.90633992806242e-09,2.01785722590723e-07,10.8912297649487
"PA4414_murD_at",-2.17409273631715,5.93342707674671,-12.275567755245,5.93864396360587e-09,2.01785722590723e-07,10.8856114645003
"PA3183_zwf_at",2.53312989232061,4.84133269992489,12.2639752851985,6.01233328146913e-09,2.02830357774134e-07,10.8729085834681
"PA0891_at",-1.95249523145317,5.32749006155314,-12.1387274944961,6.87353378711084e-09,2.30239007634926e-07,10.7349819181545
"PA4673_at",-2.29763919189676,4.24814780819399,-12.1154167749269,7.04783449798732e-09,2.32904746921813e-07,10.7091728553673
"PA3802_hisS_at",-2.30028452170835,4.54426296219439,-12.1149012092024,7.05174228452662e-09,2.32904746921813e-07,10.7086015390971
"PA1574_at",2.41364803189788,4.32575963099964,12.1065931971545,7.11503271758563e-09,2.33363191146923e-07,10.699392188527
"PA4430_at",-2.66892205476057,4.81105044862038,-12.0780604487664,7.33703855238854e-09,2.38985055744352e-07,10.6677214936079
"PA4566_obg_at",2.04898051047785,6.14791333589815,12.0714102919323,7.3898335580426e-09,2.39056054072844e-07,10.6603305145216
"PA1585_sucA_at",-3.82205338193843,5.48160361361118,-12.032693226253,7.70534191665923e-09,2.47566869880146e-07,10.6172291946328
"PA3213_at",-1.92295631674845,4.8941879927454,-12.0095530626159,7.90073113411483e-09,2.52129413151516e-07,10.5914105013507
"PA3999_dacC_at",-2.59881424491544,6.20103598768847,-11.9150449180516,8.75519528035959e-09,2.77522062477439e-07,10.4855081868081
"PA0655_at",2.02639991452682,6.24705540289146,11.8799397717639,9.09718194267506e-09,2.86439935435029e-07,10.4459835264067
"PA4411_murC_at",-2.19287035321188,6.02313152849022,-11.849069191795,9.40966854353041e-09,2.9431698364963e-07,10.4111422535121
"PA3674_at",2.29431325422864,5.85266950467578,11.8263545918871,9.64687999610253e-09,2.99751409352581e-07,10.3854554732915
"PA0537_at",1.91886706268219,6.88159879911879,11.7850242587843,1.00949695496039e-08,3.11091291270654e-07,10.3386067975279
"PA1552_at",-3.31375565754985,4.49566901032585,-11.780659685469,1.01435652880967e-08,3.11091291270654e-07,10.3336511416575
"PA2403_at",-2.15314766593083,6.42043818231421,-11.7677823771901,1.02883987323367e-08,3.13497465889202e-07,10.3190205953891
"PA4232_ssb_at",1.93718940421259,7.18486392487429,11.7567220501038,1.04145526526534e-08,3.15307257554373e-07,10.3064433113264
"PA2741_rplT_at",1.91362879684211,7.10814645328746,11.7305156121001,1.07200778571113e-08,3.22489985472209e-07,10.2766015578846
"PA0084_at",-2.6923027544133,4.63824786839913,-11.7023262583292,1.10593928123036e-08,3.30591849699429e-07,10.2444372484638
"PA2992_at",-2.32827802784833,5.98363740930173,-11.6688330175031,1.1477464017638e-08,3.4093121103965e-07,10.2061338601032
"PA4854_purH_at",-2.05383374966081,4.40744218769496,-11.6134477128958,1.22061111019422e-08,3.60309142090457e-07,10.1425854285412
"PA5481_at",2.85163646963036,5.40332983704787,11.5860763096628,1.25842311335254e-08,3.69163500892176e-07,10.1110832324123
"PA3902_at",1.90820743871344,5.37171528260622,11.5789223638682,1.26850988232426e-08,3.69825442852931e-07,10.1028390717462
"PA4222_at",-2.46455691776176,6.55505000312574,-11.5725809375206,1.27752293615137e-08,3.70168148922879e-07,10.0955275859904
"PA2761_at",-2.07419600330408,5.98136203569047,-11.56675192669,1.28586778443287e-08,3.70314240602223e-07,10.0888038586588
"PA2634_at",-3.5599837898035,5.97588457001527,-11.5422471580799,1.32158835509655e-08,3.78294654613394e-07,10.060505840867
"PA4413_ftsW_at",-2.22993815886989,5.45248542327756,-11.5365838136215,1.3299930062044e-08,3.78407046283336e-07,10.0539584839511
"PA3352_at",2.04965900769557,6.50589163223355,11.5187574842252,1.35682117155557e-08,3.83728526542333e-07,10.0333315360697
"PA2647_nuoL_at",-2.40471018618496,4.53314564443347,-11.5073153696936,1.37434408199699e-08,3.8637066067094e-07,10.0200773519573
"PA0460_at",2.05968631996557,5.52497257207146,11.4934985169291,1.39582511272902e-08,3.89839824195265e-07,10.004057264605
"PA1014_at",2.0566271379276,4.89393600492441,11.4888118963859,1.4031922530848e-08,3.89839824195265e-07,9.99861956405472
"PA5526_at",1.84389958206949,5.13104849961348,11.4617233275842,1.44659237871264e-08,3.99547123079521e-07,9.96715246413232
"PA3834_valS_at",-3.02440835066783,5.04200699146259,-11.4329045061562,1.49433599028709e-08,4.10334237332901e-07,9.93360544585387
"PA1766_at",-2.21403237392931,4.83526257175704,-11.4019917735563,1.54741672585527e-08,4.22205817759587e-07,9.89754049399144
"PA2612_serS_at",-1.68314781998114,5.82326822237925,-11.3974129357571,1.55544806881576e-08,4.22205817759587e-07,9.89219140119336
"PA4764_fur_at",2.18172305526594,6.99144109485235,11.3829184404953,1.58116516708059e-08,4.26733890521235e-07,9.87524652938683
"PA3012_at",-1.82396042552465,4.40331578061614,-11.32800182673,1.68277944901991e-08,4.51577689643241e-07,9.81087859096784
