"Gene","Locus_Tag","logFC","adj.P.Val"
"glpM","PA3585",1.25828717928414,9.45613163952477e-05
"PA1645","PA1645",1.60872721073604,9.48874086392282e-05
"pdxB","PA1375",1.25847526549259,9.49846454260173e-05
"PA4923","PA4923",1.09828295188355,9.60170868954616e-05
"PA0312","PA0312",1.28200455012975,9.75806135169229e-05
"PA5423","PA5423",1.10861497869782,0.000100445983970953
"aspP","PA4971",1.07780812246356,0.000101634820502098
"PA5462","PA5462",1.24173268169405,0.000103313950216996
"PA2659","PA2659",1.6467931556763,0.000105518296067353
"PA5108","PA5108",1.02997394364149,0.000107122570987195
"recN","PA4763",1.10582094954541,0.000107338305709011
"nadD2","PA4917",1.18367462182632,0.000110958332141246
"muxA","PA2528",1.08629403870229,0.000113188959677715
"flgZ","PA3353",1.06226644095301,0.000113188959677715
"PA1075","PA1075",1.23167622978822,0.000113468931791328
"tpiA","PA4748",1.09053095947916,0.000113589121188712
"ahpC","PA0139",1.09496969414446,0.000113867346820292
"PA4642","PA4642",1.58287475391847,0.000113906124434839
"rimM","PA3744",1.04142166408008,0.000115282287810609
"PA0541","PA0541",1.17607315248831,0.000118821363677597
"PA4638","PA4638",1.0116925332564,0.000121960474947322
"PA2854","PA2854",1.21769746788774,0.000123650781158395
"PA2577","PA2577",1.27749979344047,0.000127061086684115
"PA2412","PA2412",1.29297505130158,0.000128240787567484
"PA1122","PA1122",1.05338921748862,0.000128240787567484
"ig_111","ig_111",1.25872009084007,0.000130921286276201
"Pae_tR","Pae_tR",1.49876583288862,0.000132324383479389
"PA2568","PA2568",1.11880385163083,0.000140565660804293
"irlR","PA4885",1.03650670690318,0.000150285251339911
"alpR","PA0906",1.11341433232619,0.000151366659083116
"PA1474","PA1474",1.01566286449023,0.000151677030664708
"PA4717","PA4717",1.27709934819421,0.000152297309482614
"nrtR","PA4916",1.15520173562034,0.000156880380599418
"PA0379","PA0379",1.16133851775282,0.000160127332716695
"PA4014","PA4014",1.14973024054141,0.000162150242165226
"PA0255","PA0255",1.10262641310082,0.000164679700696842
"mliC","PA0867",1.07735534047123,0.000169704419128371
"PA3177","PA3177",1.25270835196606,0.00017187530624548
"PA2983","PA2983",1.18941136313225,0.000173328667118089
"PA4583","PA4583",1.09235926739035,0.000175852292407418
"PA2485","PA2485",1.51631508674442,0.000176092934325973
"PA4607","PA4607",1.0117571356715,0.000184044216199047
"ig_370","ig_370",1.00191071892911,0.000191659348942494
"PA3529","PA3529",1.53563573721844,0.000195374179143125
"PA3575","PA3575",1.2862575209209,0.000195743690657719
"PA5524","PA5524",1.0887651862292,0.000210708584582302
"PA0481","PA0481",1.09580255744052,0.000215652010102058
"PA1114","PA1114",1.00066645827856,0.000216269990737425
"PA3033","PA3033",1.00682523126841,0.0002258550181795
"PA3040","PA3040",1.43456566221887,0.000231488665935719
"ddaH","PA1195",1.03505953853636,0.000238601902033848
"PA3817","PA3817",1.03702449047271,0.000240899787506807
"PA1677","PA1677",1.40831470948486,0.000241186398033751
"PA0038","PA0038",1.30676534930945,0.000247466303575236
"moaD","PA3917",1.09408444616425,0.000255423223720011
"hptB","PA3345",1.04022019973087,0.000264554056110623
"PA1852","PA1852",1.19060337763552,0.000278986951002307
"ig_524","ig_524",1.23075679223842,0.000293355744895195
"alpA","PA0907",1.15732905710092,0.000293355744895195
"ohr","PA2850",1.1129705718422,0.000303012981937591
"gabT2","PA5313",1.0294733409924,0.000308508136454951
"PA4441","PA4441",1.00703983116093,0.000312723444132813
"PA0066","PA0066",1.04697782213236,0.000316634938959963
"PA1442","PA1442",1.21894780264137,0.000319742419671915
"PA1076","PA1076",1.02152852182718,0.000325246569004687
"PA1429","PA1429",1.05638837963567,0.000340266321852457
"PA4076","PA4076",1.00180232891254,0.000356124355814177
"PA0309","PA0309",1.38280077759609,0.000378838789752405
"moaB2","PA3029",1.00534672509171,0.000380297437010145
"rpsR","PA4934",1.56813710846555,0.000383754113319626
