"Locus_Tag","Gene_Name","logFC","AveExpr","P.Value","adj.P.Val","B"
"PA0607","rpe",0.428683820294695,4.81139192097949,0.0178324129582909,0.041777026985123,-4.42791498181838
"PA0586",NA,-0.578711884591963,5.54554568917575,0.0178449082591612,0.0417855734794339,-4.42859085992464
"PA3016",NA,0.565632066690726,2.89713859667874,0.0178844517323448,0.0418574160217367,-4.43072657843357
"PA2384",NA,-0.496463324377608,6.44482097367393,0.0179280983932694,0.041938785889753,-4.43307826211082
"PA4771","lldD",-0.605914633429781,3.6320293452185,0.0179473791775502,0.0419423413436761,-4.43411523227954
"PA3707","wspB",-0.479270764684321,3.30560540201712,0.0179462066784385,0.0419423413436761,-4.43405220507041
"PA1336","aauS",-0.616115545961867,4.87297886797486,0.0181086001713858,0.0422981793320748,-4.44274141565892
"PA3880",NA,0.621605936610703,5.07617002450594,0.0181240660862762,0.0423133782132884,-4.4435647580809
"PA3720",NA,0.503337742554425,3.28366320384632,0.01814317357938,0.0423370596914091,-4.44458096337195
"ig_513",NA,0.430558936635066,2.72594942596573,0.0181820122931982,0.0424067378077902,-4.44664314868376
"PA3883",NA,0.50851565473184,3.97344635091335,0.0181952166237585,0.0424165884077055,-4.44734321287391
"PA0298","spuB",-0.448453235736404,4.56932136581682,0.0182361834881246,0.0424911172246732,-4.44951185497573
"PA3777","xseA",0.48340756982062,4.41526427394164,0.0183498833391897,0.0427349600645922,-4.45550450293364
"PA5153",NA,-0.468959768367973,5.07152081466001,0.0184556286394233,0.0429600463597814,-4.46104362510529
"PA0548","tktA",-0.503160811182084,5.84352974024342,0.0185160829247465,0.0430795367751614,-4.46419563629602
"PA4548",NA,0.567498976112307,4.47041817325229,0.0186946231572029,0.0434521186867468,-4.47344289510962
"PA5430",NA,0.439305350697412,4.03250750827599,0.0186945635441611,0.0434521186867468,-4.47343982275915
"PA1673","mhr",0.621010117274679,5.68700524778597,0.0187350884100216,0.0435247528581073,-4.47552607372653
"PA4636",NA,-0.489958259704448,4.42571381899152,0.0188643332706599,0.0438034641284792,-4.4821487266444
"PA0958","oprD",-0.533358398089051,4.25656548843292,0.0189671023157004,0.0440204541705419,-4.48738139906199
"PA5199","amgS",0.415180080632079,5.62746246619639,0.0190284798591204,0.0441412133470657,-4.49049261126757
"PA1475","ccmA",0.480870147566867,3.52828574698828,0.0191560569579652,0.0444153446305693,-4.49692645783001
"PA1252","dpkA",0.409491306972777,3.32489067800879,0.0192025907045173,0.0445013915100271,-4.49926220229858
