"Locus_Tag","Gene_Name","logFC","AveExpr","P.Value","adj.P.Val","B"
"PA2212",NA,-0.217666053889657,8.82674204749446,0.427023447352489,0.730170935910826,-7.28602172047298
"PA1843","metH",-0.131748962141668,8.00385282812429,0.426787170533395,0.730170935910826,-7.28564153177238
"PA5251",NA,-0.115511322153611,8.04153696037993,0.426496939632641,0.730170935910826,-7.28517409304493
"PA1650",NA,0.100404576445786,7.69430842941773,0.426976481494304,0.730170935910826,-7.28594617377661
"PA4448","hisD",0.0927207522329834,7.75359449828904,0.426743745328431,0.730170935910826,-7.2855716226259
"PA2790",NA,-0.0799527737017014,7.73561555767308,0.426626617874341,0.730170935910826,-7.28538300872033
"PA5223","ubiH",-0.0787750040983557,8.21683742486532,0.427088118614959,0.730170935910826,-7.28612572665075
"PA1020",NA,-0.102657418731775,8.18743621455676,0.427624495818334,0.730718282293922,-7.28698743117096
"PA4807","selB",0.0956862210159297,8.68716910718646,0.427655970976426,0.730718282293922,-7.28703794631416
"PA5237",NA,-0.0961318993809748,8.35279142328851,0.428196597653865,0.730823267036089,-7.28790473606785
"PA2076","otsR",0.0864214501558456,7.81351996105214,0.428077025955492,0.730823267036089,-7.28771316817179
"PA1818","cadA",-0.0822862663265731,8.55277309347784,0.42821288714301,0.730823267036089,-7.28793082750143
"PA0131","bauB",0.0676620174775717,7.14391447126861,0.427844574531443,0.730823267036089,-7.2873405228583
"PA0345",NA,-0.166472581853279,9.65708571040132,0.428665315194755,0.731321850055333,-7.28865489961883
"PA0810",NA,-0.149334117087191,9.56821957250799,0.428752928701932,0.731321850055333,-7.28879498430213
"PA2006",NA,-0.130429844859083,8.19850024707304,0.429243704057833,0.731947356630408,-7.28957888408635
"PA4921","choE",0.293427209570073,9.22383308609625,0.42974832258099,0.73221313120235,-7.29038348556255
"PA2513","antB",-0.237645740839627,8.59794816537769,0.430020084680702,0.73221313120235,-7.29081621235969
"PA3124",NA,-0.175075661481216,9.61322024624074,0.429791719101119,0.73221313120235,-7.2904526135797
"PA5358","ubiA",-0.112873790381418,7.62096992672169,0.429773376302275,0.73221313120235,-7.29042339590345
"PA4889",NA,-0.0885100747483545,7.95986459453598,0.430009618015012,0.73221313120235,-7.29079955393978
"PA4791",NA,-0.0977988826426817,9.43352765970302,0.430401487414426,0.73265111821844,-7.29142282331517
"PA3878","narX",0.0935378781926826,8.91287407037899,0.430693307872966,0.732936405091001,-7.29188640741226
