"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PA0577_dnaG_at",1.92618191859531,10.2441958494067,9.90122693219918,5.29963007073427e-06,0.000919641688745064,4.68946308532217
"PA1343_at",2.86864921757925,10.8046197963398,9.74952049956372,5.99524192114079e-06,0.00101062649527802,4.56704570944501
"PA0729_at",2.73144380585066,10.3503274494118,9.680156200221,6.34647966311463e-06,0.00104011750034379,4.51042317431162
"PA0578_at",1.92121228301453,10.9962734034201,9.63389500431003,6.59336662822806e-06,0.00105137467855529,4.47243023095683
"PA0612_i_at",3.14890428972901,10.5375717921205,9.54257192036901,7.11254313423359e-06,0.00110431590768364,4.39688457443875
"PA0921_at",2.36175419926115,9.04075056400897,9.28515106044085,8.83614368424066e-06,0.00132155344127373,4.17997063200615
"PA3615_at",-1.01793140404357,8.77731321687715,-9.2688798970008,8.95968434761853e-06,0.00132155344127373,4.16605962541674
"PA3655_tsf_at",1.51911443282299,10.640312854997,9.16282724070647,9.81324737227183e-06,0.00137533624786245,4.07479609577523
"PA0124_at",1.45167254111581,9.37104332129655,9.15718872316826,9.861081902844e-06,0.00137533624786245,4.06991486114999
"PA3719_at",3.19760089868717,9.98191458714479,9.10947272659669,1.02763592594735e-05,0.00137533624786245,4.02848918930161
"PA2840_at",2.25670576451893,11.4616183188064,9.08273513476828,1.05174841410006e-05,0.00137533624786245,4.00518359928263
"PA1344_at",2.72291327225909,10.1316736957813,9.06431902339856,1.06871991119132e-05,0.00137533624786245,3.98909242883461
"PA5465_at",1.07443447121248,10.1867694522595,9.06047970307183,1.07229605765547e-05,0.00137533624786245,3.98573379394746
"PA1894_at",-1.46786716201711,9.40481829597992,-8.94875485539525,1.18238239909471e-05,0.00145503675988015,3.88738720204111
"PA1031_at",2.29966500145998,9.58528478823082,8.92953347006643,1.20255254985562e-05,0.00145503675988015,3.87034779546002
"PA4748_tpiA_at",2.43245276750526,9.34797110505389,8.92400849285893,1.20842035990046e-05,0.00145503675988015,3.86544346208156
"PA3716_at",0.793412814721508,8.95900202045573,8.86040708027499,1.27829526027871e-05,0.00150838840712887,3.80877539035892
"PA3006_at",1.77743993740308,10.0566973138968,8.83706711758516,1.3050473761987e-05,0.00150976069011222,3.78788182346143
"PA2968_fabD_at",1.24575723740475,8.34098697297349,8.73544358824875,1.42895975284843e-05,0.00162131971957803,3.69629143847093
"PA1300_at",1.86644957144677,9.58179866203226,8.70310022429917,1.47108017257599e-05,0.00163761755060346,3.66692861058192
"PA5239_rho_at",1.42720539422818,9.55625198071183,8.51542127005752,1.74424680301268e-05,0.00190575113662496,3.49448615132198
"PA5462_at",0.715422269542126,8.51390832950347,8.46369069254817,1.82906490972247e-05,0.00196208781224774,3.44632964656515
"PA3617_recA_at",1.86720846496754,11.4880393457984,8.39437880709718,1.94992808180922e-05,0.00205438851476328,3.38137635910803
"PA3353_at",2.05039126926679,10.759319556979,8.35413177600652,2.02413641530664e-05,0.00209515874566828,3.34343235903195
"PA1291_at",1.91437624278031,9.06803518668483,8.22356850035836,2.28716011922998e-05,0.00232659391438912,3.21917433206512
"PA4742_truB_at",1.29133956958558,9.28757060635693,8.18387932744741,2.37442342074006e-05,0.00237442342074006,3.18104499174148
"PA4745_nusA_at",1.67134709655422,10.9941801011487,8.13066427362061,2.49723992937341e-05,0.0024303421674556,3.12965742823265
"PA2748_at",1.3026795003255,9.3190396063384,8.12415958102275,2.51272664770834e-05,0.0024303421674556,3.12335528022073
"PA0613_at",1.98477092925581,11.369567851273,7.91309593105088,3.07752743868595e-05,0.00292512240248488,2.9163682470772
"PA1301_at",1.42024679607203,9.26936101671644,7.89785275766456,3.12343578570419e-05,0.00292512240248488,2.90122991673397
"PA1776_at",1.63218110993592,10.3444993342253,7.74507704382496,3.62764292737997e-05,0.00321176351686759,2.74806858201727
"PA4852_at",1.65485756179596,11.0306772779135,7.73996794639041,3.64598706277816e-05,0.00321176351686759,2.74290107607618
"PA1775_at",2.0227241915902,9.02453593617822,7.73675691570628,3.65756848352218e-05,0.00321176351686759,2.73965181713106
"PA3537_argF_at",1.00699242662153,10.0638304400742,7.71610706525697,3.7330225822621e-05,0.00321176351686759,2.71872807205342
"PA1518_at",1.26043588881214,8.53031370691235,7.71228623430591,3.74717086789396e-05,0.00321176351686759,2.71485123242024
"PA1030_at",2.787346372435,8.96398419390998,7.70987491373761,3.75613021464176e-05,0.00321176351686759,2.71240370707521
"PA0805_at",3.6179076258149,11.115681788582,7.64160697380949,4.01983264279062e-05,0.00338814465606638,2.6428343664804
"PA3179_at",1.62598538906519,9.58061168800231,7.56013777420952,4.36153659461195e-05,0.00362437548002964,2.55910829178853
"PA4419_ftsL_at",1.2712179420127,8.05979000411764,7.45214209073708,4.86474513956483e-05,0.00398638837825452,2.44692598591727
"PA4108_at",-0.662832477994428,9.13972110502995,-7.40939219799641,5.08131072856721e-05,0.00410681278062281,2.40213838389251
"PA4456_at",1.72322420773285,9.29176302917702,7.35974940555105,5.34619959632803e-05,0.00423713803728784,2.3498560230409
