#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
COMPARTMENTS	GOCC:0045272	Plasma membrane respiratory chain complex I	8	14	1.18	1.05	5.43e-05	208964.PA2641,208964.PA2642,208964.PA2643,208964.PA2644,208964.PA2645,208964.PA2646,208964.PA2647,208964.PA2648	nuoF,nuoG,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM
COMPARTMENTS	GOCC:0070470	Plasma membrane respirasome	9	23	1.01	0.95	8.98e-05	208964.PA1556,208964.PA2641,208964.PA2642,208964.PA2643,208964.PA2644,208964.PA2645,208964.PA2646,208964.PA2647,208964.PA2648	ccoO2,nuoF,nuoG,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM
COMPARTMENTS	GOCC:0098803	Respiratory chain complex	9	28	0.93	0.84	0.00023	208964.PA1556,208964.PA2641,208964.PA2642,208964.PA2643,208964.PA2644,208964.PA2645,208964.PA2646,208964.PA2647,208964.PA2648	ccoO2,nuoF,nuoG,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM
COMPARTMENTS	GOCC:0070469	Respirasome	11	51	0.76	0.72	0.00047	208964.PA1555,208964.PA1556,208964.PA2641,208964.PA2642,208964.PA2643,208964.PA2644,208964.PA2645,208964.PA2646,208964.PA2647,208964.PA2648,208964.PA5491	ccoP2,ccoO2,nuoF,nuoG,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM,PA5491
COMPARTMENTS	GOCC:0043226	Organelle	35	487	0.28	0.37	0.0094	208964.PA0111,208964.PA0112,208964.PA0329,208964.PA0577,208964.PA0579,208964.PA0913,208964.PA1804,208964.PA1894,208964.PA1901,208964.PA2741,208964.PA2742,208964.PA2970,208964.PA3306,208964.PA3353,208964.PA3417,208964.PA3656,208964.PA3723,208964.PA3742,208964.PA3745,208964.PA4108,208964.PA4240,208964.PA4241,208964.PA4242,208964.PA4262,208964.PA4268,208964.PA4325,208964.PA4432,208964.PA4567,208964.PA4568,208964.PA4763,208964.PA4932,208964.PA4934,208964.PA4935,208964.PA5316,208964.PA5348	PA0111,PA0112,PA0329,dnaG,rpsU,mgtE,hupB,PA1894,phzC2,rplT,rpmI,rpmF,PA3306,PA3353,pdhA,rpsB,PA3723,rplS,rpsP,PA4108,rpsK,rpsM,rpmJ,rplD,rpsL,PA4325,rpsI,rpmA,rplU,recN,rplI,rpsR,rpsF,rpmB,hupA
COMPARTMENTS	GOCC:0043229	Intracellular organelle	33	449	0.29	0.37	0.0094	208964.PA0111,208964.PA0112,208964.PA0329,208964.PA0577,208964.PA0579,208964.PA0913,208964.PA1804,208964.PA1894,208964.PA1901,208964.PA2741,208964.PA2742,208964.PA2970,208964.PA3306,208964.PA3417,208964.PA3656,208964.PA3723,208964.PA3742,208964.PA3745,208964.PA4240,208964.PA4241,208964.PA4242,208964.PA4262,208964.PA4268,208964.PA4325,208964.PA4432,208964.PA4567,208964.PA4568,208964.PA4763,208964.PA4932,208964.PA4934,208964.PA4935,208964.PA5316,208964.PA5348	PA0111,PA0112,PA0329,dnaG,rpsU,mgtE,hupB,PA1894,phzC2,rplT,rpmI,rpmF,PA3306,pdhA,rpsB,PA3723,rplS,rpsP,rpsK,rpsM,rpmJ,rplD,rpsL,PA4325,rpsI,rpmA,rplU,recN,rplI,rpsR,rpsF,rpmB,hupA
UniProt Keywords	KW-0689	Ribosomal protein	19	56	0.95	1.62	2.84e-09	208964.PA0579,208964.PA2741,208964.PA2742,208964.PA2970,208964.PA3656,208964.PA3742,208964.PA3745,208964.PA4240,208964.PA4241,208964.PA4242,208964.PA4262,208964.PA4268,208964.PA4432,208964.PA4567,208964.PA4568,208964.PA4932,208964.PA4934,208964.PA4935,208964.PA5316	rpsU,rplT,rpmI,rpmF,rpsB,rplS,rpsP,rpsK,rpsM,rpmJ,rplD,rpsL,rpsI,rpmA,rplU,rplI,rpsR,rpsF,rpmB
UniProt Keywords	KW-0874	Quinone	8	14	1.18	1.05	5.29e-05	208964.PA2641,208964.PA2642,208964.PA2643,208964.PA2644,208964.PA2645,208964.PA2646,208964.PA2647,208964.PA2648	nuoF,nuoG,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM
UniProt Keywords	KW-0830	Ubiquinone	8	21	1.0	0.81	0.00043	208964.PA2641,208964.PA2642,208964.PA2643,208964.PA2644,208964.PA2645,208964.PA2646,208964.PA2647,208964.PA2648	nuoF,nuoG,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM
UniProt Keywords	KW-0699	rRNA-binding	9	39	0.78	0.6	0.0026	208964.PA2741,208964.PA4240,208964.PA4241,208964.PA4262,208964.PA4268,208964.PA4568,208964.PA4932,208964.PA4934,208964.PA4935	rplT,rpsK,rpsM,rplD,rpsL,rplU,rplI,rpsR,rpsF
UniProt Keywords	KW-0520	NAD	14	102	0.56	0.52	0.0034	208964.PA1587,208964.PA1806,208964.PA2641,208964.PA2642,208964.PA2643,208964.PA2644,208964.PA2645,208964.PA2646,208964.PA2647,208964.PA2648,208964.PA3418,208964.PA3559,208964.PA4217,208964.PA5427	lpdG,fabI,nuoF,nuoG,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM,ldh,PA3559,phzS,adhA
UniProt Keywords	KW-1278	Translocase	9	53	0.65	0.43	0.0146	208964.PA2641,208964.PA2642,208964.PA2643,208964.PA2644,208964.PA2645,208964.PA2646,208964.PA2647,208964.PA2648,208964.PA5554	nuoF,nuoG,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM,atpD
UniProt Keywords	KW-0694	RNA-binding	11	86	0.53	0.36	0.0260	208964.PA2741,208964.PA2840,208964.PA3179,208964.PA4240,208964.PA4241,208964.PA4262,208964.PA4268,208964.PA4568,208964.PA4932,208964.PA4934,208964.PA4935	rplT,deaD,rluB,rpsK,rpsM,rplD,rpsL,rplU,rplI,rpsR,rpsF
